Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2017-11-10,N,Michigan St.,B10,North Florida,Home,104.2,80.0,82.2,119.3,59.8,25.6,48.3,52.5,80.3,43.2,23.1,23.9,22.7,95.4,18,1,98,66,32
2017-11-10,N,Vanderbilt,SEC,Austin Peay,Home,103.9,84.3,66.9,109.2,52.6,22.4,42.1,32.8,80.8,43.5,25.4,28.1,22.2,91.6,8,1,73,54,19
2017-11-10,N,Hampton,MEAC,Rider,Away,103.7,108.3,75.6,99.2,49.2,21.2,26.3,27.0,119.0,51.5,11.9,38.0,50.0,37.8,0,0,90,75,15
2017-11-10,N,South Dakota St.,Sum,UC Irvine,Home,103.7,91.1,64.8,100.3,42.1,12.3,26.1,40.4,83.3,42.2,27.8,39.0,20.7,81.6,4,1,65,54,11
2017-11-10,N,TCU,B12,Louisiana Monroe,Home,103.5,99.5,78.3,106.1,54.1,16.6,25.7,45.9,93.3,47.8,16.6,22.5,15.9,61.4,5,1,83,73,10
2017-11-10,N,Campbell,BSth,Penn St.,Away,103.3,94.7,81.7,91.8,45.2,22.0,27.5,37.1,105.3,40.8,17.1,36.6,63.1,73.1,-8,0,86,75,11
2017-11-10,N,Fairleigh Dickinson,NEC,Seton Hall,Away,103.2,107.3,72.3,94.1,51.8,23.5,25.7,28.6,124.5,56.8,19.4,50.0,34.8,38.9,-11,0,90,68,22
2017-11-10,N,Howard,MEAC,George Washington,Away,103.2,110.4,74.6,100.5,43.1,16.1,31.8,38.5,112.6,57.8,20.1,32.4,44.8,31.7,-4,0,84,75,9
2017-11-10,N,North Dakota,BSky,Troy,Neutral,103.1,102.8,78.4,105.8,58.5,15.3,17.1,21.5,102.0,47.7,16.6,31.7,46.2,50.9,0,1,83,80,3
2017-11-10,N,Central Arkansas,Slnd,Baylor,Away,103.0,125.9,75.8,87.1,44.4,15.8,17.1,23.8,141.1,76.3,21.1,36.4,33.9,9.0,-15,0,107,66,41
2017-11-10,N,Elon,CAA,Duke,Away,102.9,108.4,75.3,90.3,50.8,19.9,17.5,11.1,128.9,63.5,15.9,39.5,14.9,35.6,-18,0,97,68,29
2017-11-10,N,USC,P12,Cal St. Fullerton,Home,102.8,58.9,79.3,105.9,48.5,16.4,31.7,36.8,52.9,25.0,26.5,29.1,48.3,99.8,19,1,84,42,42
